encoder,policy,steer_rmse,accel_rmse,delta_steer,delta_accel
vit_s16,original,0.1201108917593956,0.0660612434148788,0.0,0.0
vit_s16,left,0.1292127966880798,0.072188526391983,0.0091019049286842,0.0061272829771041
vit_s16,right,0.1340919435024261,0.0740846842527389,0.0139810517430305,0.0080234408378601
vit_s16,lead,0.1358464062213897,0.0725320503115654,0.0157355144619941,0.0064708068966865
clip_b32,original,0.114358901977539,0.0596018806099891,0.0,0.0
clip_b32,left,0.1166548356413841,0.0595132634043693,0.002295933663845,-8.861720561981201e-05
clip_b32,right,0.1191427782177925,0.0586847998201847,0.0047838762402534,-0.0009170807898044
clip_b32,lead,0.1225868910551071,0.0591780841350555,0.008227989077568,-0.0004237964749336
dino_vits14,original,0.1180746406316757,0.0643812865018844,0.0,0.0
dino_vits14,left,0.1188306435942649,0.0617724284529686,0.0007560029625892,-0.0026088580489158
dino_vits14,right,0.115040585398674,0.0641093626618385,-0.0030340552330017,-0.0002719238400459
dino_vits14,lead,0.1202170103788375,0.0661328881978988,0.0021423697471618,0.0017516016960144
vq_track,original,0.1180746406316757,0.0643812865018844,0.0,0.0
vq_track,left,0.1188306435942649,0.0617724284529686,0.0007560029625892,-0.0026088580489158
vq_track,right,0.115040585398674,0.0641093626618385,-0.0030340552330017,-0.0002719238400459
vq_track,lead,0.1202170103788375,0.0661328881978988,0.0021423697471618,0.0017516016960144
