encoder,scenario,steer_rmse_mean_scene,accel_rmse_mean_scene,num_scene_entries
vit_s16,urban,0.10631044123382884,0.0767738237759844,21
vit_s16,intersection,0.10370358761690879,0.06762858259401555,19
clip_b32,urban,0.103004070230058,0.06833869247454956,21
clip_b32,intersection,0.10335903864588539,0.06377088297771026,19
dino_vits14,urban,0.09567237580579326,0.07076380341893544,21
dino_vits14,intersection,0.09884504179076006,0.0710249014898033,19
vjepa2_rep64,urban,0.09175692332519364,0.06833575377241867,21
vjepa2_rep64,intersection,0.08841198494850998,0.06273421736435744,19
vq_track,urban,0.09567237580579326,0.07076380341893544,21
vq_track,intersection,0.09884504179076006,0.0710249014898033,19
vjepa2_rep1,urban,0.09261510310516201,0.06609508349201827,21
vjepa2_rep1,intersection,0.09026078488642299,0.06423009225156792,19
